SMILES,groups,score
NC1CCN(C)CC1N(NC1CCN(C)CC1)Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,NC1CCN(C)CC1&NC1CCN(C)CC1,1.024390243902439
c1ccccc1CN([H])Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,c1ccccc1C&[H],1.0303030303030303
C(CN)OCCON([H])Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,C(CN)OCCO&[H],1.0303030303030303
CCOCOCNCN([H])Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,CCOCOCNC&[H],1.0294117647058822
CCCCCCCCN([H])Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,CCCCCCCC&[H],1.0294117647058822
CCCCN([H])Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,CCCC&[H],1.0333333333333334
CCCCCN([H])Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,CCCCC&[H],1.032258064516129
CCCCCCCCCCN([H])Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,CCCCCCCCCC&[H],1.0277777777777777
ClNCCCCCCCNN([H])Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,ClNCCCCCCCN&[H],1.0277777777777777
ClNCCCCCNN([H])Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,ClNCCCCCN&[H],1.0294117647058822
ClNCCCCNN([H])Cc1ccc(CNC(=O)c2csc3ncNc(=O)c23)cc1,ClNCCCCN&[H],1.0303030303030303
